,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,Global_Sales
94,FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,7.59
108,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,7.14
171,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,5.38
245,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,4.46
289,Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,4.08
325,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.35,3.8
571,FIFA 17,XOne,2016,Sports,Electronic Arts,0.43,2.65
640,Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,1.46,2.42
708,Far Cry: Primal,PS4,2016,Action,Ubisoft,0.6,2.26
709,Battlefield 1,XOne,2016,Shooter,Electronic Arts,1.28,2.25
